"fullDependentTypeName","declaredMethods","calledMethodNames","calledMethods","callerTypes","Source Cypher File: Internal_Dependencies/Candidates_for_Interface_Segregation.cypher"
"org.axonframework.commandhandling.CommandMessage",9,"getCommandName",1,20,""
"org.axonframework.eventhandling.EventMessage",9,"getIdentifier,getTimestamp",2,10,""
"org.axonframework.eventhandling.DomainEventMessage",10,"getSequenceNumber",1,9,""
"org.axonframework.eventhandling.EventMessage",9,"getIdentifier",1,9,""
"org.axonframework.eventhandling.TrackedEventMessage",10,"trackingToken",1,8,""
"org.axonframework.commandhandling.GenericCommandResultMessage",14,"asCommandResultMessage",1,6,""
"org.axonframework.eventhandling.DomainEventMessage",10,"getAggregateIdentifier,getType,getSequenceNumber",3,6,""
"org.axonframework.messaging.ResultMessage",9,"isExceptional,exceptionResult",2,6,""
"org.axonframework.eventhandling.ReplayToken",13,"createReplayToken",1,5,""
"org.axonframework.deadline.GenericDeadlineMessage",11,"asDeadlineMessage",1,5,""
"org.axonframework.eventhandling.DomainEventMessage",10,"getAggregateIdentifier",1,5,""
"org.axonframework.eventhandling.TrackedEventMessage",12,"trackingToken",1,4,""
"org.axonframework.deadline.DeadlineMessage",10,"getDeadlineName",1,4,""
"org.axonframework.eventhandling.DomainEventMessage",10,"getType",1,4,""
"org.axonframework.eventhandling.GenericEventMessage",10,"asEventMessage",1,4,""
"org.axonframework.deadline.DefaultDeadlineManagerSpanFactory",8,"builder",1,4,""
"org.axonframework.common.transaction.NoTransactionManager",4,"instance",1,4,""
"org.axonframework.queryhandling.SimpleQueryUpdateEmitter",17,"builder",1,3,""
"org.axonframework.commandhandling.GenericCommandResultMessage",15,"asCommandResultMessage",1,3,""
"org.axonframework.eventhandling.ReplayToken",13,"isReplay",1,3,""
"org.axonframework.modelling.command.inspection.AggregateModel",13,"type",1,3,""
"org.axonframework.queryhandling.SubscriptionQueryMessage",12,"getUpdateResponseType",1,3,""
"org.axonframework.eventhandling.DomainEventMessage",11,"getAggregateIdentifier,getType,getSequenceNumber",3,3,""
"org.axonframework.eventhandling.GenericEventMessage",11,"asEventMessage",1,3,""
"org.axonframework.eventsourcing.eventstore.EventStore",11,"readEvents",1,3,""
"org.axonframework.queryhandling.SimpleQueryBus",11,"builder",1,3,""
"org.axonframework.eventhandling.DomainEventMessage",10,"getAggregateIdentifier,getSequenceNumber",2,3,""
"org.axonframework.eventhandling.GapAwareTrackingToken",10,"newInstance,getGaps,getIndex,advanceTo,withGapsTruncatedAt",5,3,""
"org.axonframework.queryhandling.DefaultQueryBusSpanFactory",10,"builder",1,3,""
"org.axonframework.commandhandling.gateway.DefaultCommandGateway",9,"builder",1,3,""
"org.axonframework.config.Configuration",9,"snapshotFilter,upcasterChain",2,3,""
"org.axonframework.config.Configuration",9,"getComponent",1,3,""
"org.axonframework.eventhandling.EventMessage",9,"getTimestamp",1,3,""
"org.axonframework.messaging.MessageDecorator",9,"describeTo",1,3,""
"org.axonframework.queryhandling.QueryMessage",9,"getResponseType,getQueryName",2,3,""
"org.axonframework.commandhandling.DefaultCommandBusSpanFactory",5,"builder",1,3,""
"org.axonframework.eventhandling.TrackedEventData",5,"trackingToken",1,3,""
"org.axonframework.eventhandling.tokenstore.ConfigToken",5,"get",1,3,""
"org.axonframework.eventhandling.DefaultEventBusSpanFactory",4,"builder",1,3,""
"org.axonframework.queryhandling.DefaultQueryUpdateEmitterSpanFactory",4,"builder",1,3,""
"org.axonframework.eventhandling.TrackerStatus",17,"getTrackingToken,split,getSegment",3,2,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregate",17,"getAggregateRoot,initialize,initSequence",4,2,""
"org.axonframework.queryhandling.DefaultQueryGateway",17,"builder",1,2,""
"org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore",15,"builder",1,2,""
"org.axonframework.commandhandling.CommandMessageHandlingMember",14,"commandName,isFactoryHandler",2,2,""
"org.axonframework.commandhandling.GenericCommandResultMessage",14,"asCommandResultMessage",2,2,""
"org.axonframework.deadline.DeadlineMessage",14,"getDeadlineName",1,2,""
"org.axonframework.messaging.GenericResultMessage",14,"asResultMessage",1,2,""
"org.axonframework.messaging.annotation.WrappedMessageHandlingMember",14,"handle",1,2,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBus",13,"builder",1,2,""
"org.axonframework.eventhandling.DomainEventMessage",13,"getAggregateIdentifier,getSequenceNumber",2,2,""
"org.axonframework.modelling.command.inspection.AggregateModel",13,"types",1,2,""
"org.axonframework.queryhandling.StreamingQueryMessage",12,"getResponseType",1,2,""
"org.axonframework.commandhandling.GenericCommandMessage",11,"asCommandMessage",1,2,""
"org.axonframework.eventhandling.DomainEventMessage",11,"getSequenceNumber",1,2,""
"org.axonframework.eventhandling.TrackedEventMessage",11,"withTrackingToken,trackingToken",2,2,""
"org.axonframework.eventhandling.TrackedEventMessage",11,"trackingToken",1,2,""
"org.axonframework.queryhandling.DefaultQueryBusSpanFactory",11,"builder",1,2,""
"org.axonframework.eventhandling.GenericEventMessage",10,"describeTo",1,2,""
"org.axonframework.messaging.ResultMessage",10,"isExceptional,exceptionResult",2,2,""
"org.axonframework.config.Configurer",9,"eventProcessing",1,2,""
"org.axonframework.eventhandling.EventMessage",9,"andMetaData",1,2,""
"org.axonframework.modelling.saga.Saga",9,"getSagaIdentifier",1,2,""
"org.axonframework.queryhandling.QueryMessage",9,"getQueryName",1,2,""
"org.axonframework.deadline.DefaultDeadlineManagerSpanFactory",7,"builder",1,2,""
"org.axonframework.commandhandling.AnnotationCommandHandlerAdapter",6,"subscribe",1,2,""
"org.axonframework.commandhandling.SimpleCommandBus",6,"builder",1,2,""
"org.axonframework.modelling.saga.repository.jpa.JpaSagaStore",6,"builder",1,2,""
"org.axonframework.eventhandling.DomainEventData",5,"getSequenceNumber",1,2,""
"org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory",5,"callWithInterceptorChain",1,2,""
"org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory",5,"currentInterceptorChain",1,2,""
"org.axonframework.serialization.ChainingConverter",5,"registerConverter",1,2,""
"org.axonframework.commandhandling.DefaultCommandBusSpanFactory",4,"builder",1,2,""
"org.axonframework.eventhandling.gateway.DefaultEventGateway",4,"builder",1,2,""
"org.axonframework.modelling.command.DefaultRepositorySpanFactory",4,"builder",1,2,""
"org.axonframework.serialization.SimpleSerializedObject",4,"getType",1,2,""
"org.axonframework.config.DefaultConfigurer",66,"access$1200,access$700,defaultComponent,invokeStartHandlers,access$1500,access$1400,invokeShutdownHandlers,access$500,access$1000,access$1300,access$400,access$200,access$1100,access$300,access$600,access$900,access$800",17,1,""
"org.axonframework.test.saga.FixtureExecutionResultImpl",56,"registerStartRecordingCallback,startRecording",2,1,""
"org.axonframework.test.aggregate.ResultValidatorImpl",53,"assertValidRecording,recordException",2,1,""
"org.axonframework.test.aggregate.AggregateTestFixture",52,"access$602,access$900,access$600,access$800,access$700",5,1,""
"org.axonframework.config.DefaultConfigurer",51,"registerModule",1,1,""
"org.axonframework.test.aggregate.AggregateTestFixture",49,"access$1100,access$1300,access$1200",3,1,""
"org.axonframework.config.Configuration",34,"spanFactory,queryBus,correlationDataProviders,findModules,getComponent,serializer,scopeAwareProvider,messageSerializer,snapshotFilter,messageMonitor,upcasterChain,commandBus,repository,parameterResolverFactory,eventBus,handlerDefinition,eventStore,eventSerializer",19,1,""
"org.axonframework.messaging.unitofwork.AbstractUnitOfWork",34,"rollback",1,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",32,"access$1300,access$1100,access$600,access$1900,access$1500,access$1600,access$2300,doSleepFor,access$1000,access$2000,access$1800,access$1200,access$800,access$900,access$2200,access$2400,getState,access$1400,access$700,access$1700",20,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",29,"access$1300,access$1100,access$1500,access$1000,access$1200,access$800,access$900,getState,processingLoop,access$1400",10,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",28,"access$600,access$700",2,1,""
"org.axonframework.config.Configuration",27,"correlationDataProviders,getComponent,messageMonitor,parameterResolverFactory,eventBus,handlerDefinition",7,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",27,"access$1300,access$2500,access$800,access$2200",4,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",27,"builder",1,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",27,"access$1600,access$1000,releaseSegment,access$800,access$2200",5,1,""
"org.axonframework.eventhandling.TrackingEventProcessor",27,"access$1600,access$1000,access$800,access$2200",4,1,""
