"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_4c_Article_Rank_Stream.cypher"
"org.axonframework.common","common",0.6781158617333691,917,23,""
"org.axonframework.messaging","messaging",0.5043368698490622,8829,133,""
"org.axonframework.eventhandling","eventhandling",0.29553640327936587,4937,1557,""
"org.axonframework.serialization","serialization",0.2883373100157128,1240,176,""
"org.axonframework.messaging.unitofwork","unitofwork",0.15968333827172143,258,123,""
"org.axonframework.messaging.annotation","annotation",0.12696366046904467,1057,301,""
"org.axonframework.commandhandling","commandhandling",0.08163621350283012,1539,661,""
"org.axonframework.modelling.saga","saga",0.07485863514758691,242,398,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.05585611559014906,69,42,""
"org.axonframework.queryhandling","queryhandling",0.052077366099776624,182,1116,""
"org.axonframework.tracing","tracing",0.051412647018762886,187,122,""
"org.axonframework.common.transaction","transaction",0.04989147200617747,310,6,""
"org.axonframework.modelling.command","command",0.04516617288150249,254,827,""
"org.axonframework.common.jdbc","jdbc",0.04021587297927842,65,56,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.04004905494090489,169,603,""
"org.axonframework.deadline","deadline",0.03949654857276134,188,347,""
"org.axonframework.common.annotation","annotation",0.03835090475649661,22,3,""
"org.axonframework.messaging.deadletter","deadletter",0.03655401441732875,198,105,""
"org.axonframework.test","test",0.03643471139032747,16,13,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.03621733847827517,218,1340,""
"org.axonframework.monitoring","monitoring",0.03605129225084124,188,21,""
"org.axonframework.common.io","io",0.03500037832742035,10,0,""
"org.axonframework.util","util",0.032892434683237305,3,6,""
"org.axonframework.modelling.command.inspection","inspection",0.0318785056584263,84,781,""
"org.axonframework.commandhandling.distributed","distributed",0.03101315128834128,50,752,""
"org.axonframework.common.stream","stream",0.02991846413909699,29,5,""
"org.axonframework.serialization.upcasting.event","event",0.0281732668664114,38,188,""
