"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_5c_Betweeness_Stream.cypher"
"org.axonframework.eventhandling","eventhandling",861.6666666666667,4937,1557,""
"org.axonframework.messaging","messaging",457,8829,133,""
"org.axonframework.tracing","tracing",436.00000000000006,187,122,""
"org.axonframework.messaging.annotation","annotation",339.41666666666663,1056,301,""
"org.axonframework.serialization","serialization",335.5,1240,176,""
"org.axonframework.queryhandling","queryhandling",282,182,1116,""
"org.axonframework.commandhandling","commandhandling",194.50000000000003,1539,642,""
"org.axonframework.lifecycle","lifecycle",163.83333333333331,71,10,""
"org.axonframework.eventsourcing.eventstore","eventstore",146.25,169,603,""
"org.axonframework.util","util",113.33333333333334,3,6,""
"org.axonframework.modelling.saga.repository","repository",95.83333333333333,72,231,""
"org.axonframework.messaging.unitofwork","unitofwork",82,258,123,""
"org.axonframework.serialization.upcasting.event","event",78,38,188,""
"org.axonframework.eventhandling.async","async",71.5,41,76,""
"org.axonframework.eventhandling.replay","replay",67.16666666666666,12,72,""
"org.axonframework.queryhandling.registration","registration",67,9,13,""
"org.axonframework.messaging.correlation","correlation",65.5,25,14,""
"org.axonframework.messaging.interceptors","interceptors",65,10,119,""
"org.axonframework.deadline","deadline",60.16666666666667,188,347,""
"org.axonframework.messaging.responsetypes","responsetypes",45,78,65,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",45,23,17,""
"org.axonframework.monitoring","monitoring",38.333333333333336,188,21,""
"org.axonframework.modelling.command","command",36.08333333333333,254,827,""
"org.axonframework.eventsourcing","eventsourcing",29,134,976,""
"org.axonframework.test.matchers","matchers",22.5,61,51,""
"org.axonframework.modelling.saga","saga",22.5,242,398,""
"org.axonframework.test","test",13.333333333333334,16,13,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",11,218,1340,""
"org.axonframework.common.jdbc","jdbc",10.666666666666668,65,56,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",10.5,15,99,""
"org.axonframework.deadline.jobrunr","jobrunr",9.333333333333334,5,433,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",9,9,236,""
"org.axonframework.common.annotation","annotation",8.333333333333334,22,3,""
"org.axonframework.serialization.xml","xml",8,17,28,""
"org.axonframework.common.jpa","jpa",6.833333333333333,16,6,""
"org.axonframework.common.legacyjpa","legacyjpa",6.833333333333333,14,6,""
"org.axonframework.modelling.saga.metamodel","metamodel",4,15,67,""
"org.axonframework.modelling.command.inspection","inspection",3.5,84,781,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",3.333333333333333,5,15,""
"org.axonframework.test.deadline","deadline",3,10,138,""
"org.axonframework.commandhandling.gateway","gateway",3,97,443,""
"org.axonframework.queryhandling.annotation","annotation",2,4,199,""
"org.axonframework.test.eventscheduler","eventscheduler",2,9,38,""
