"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-4.9.2","org.axonframework.messaging.annotation",0,54,131,1,""
"axon-eventsourcing-4.9.2","org.axonframework.eventsourcing",0,41,131,1,""
"axon-eventsourcing-4.9.2","org.axonframework.eventsourcing.eventstore",0,30,131,1,""
"axon-messaging-4.9.2","org.axonframework.common",0,27,131,1,""
"axon-eventsourcing-4.9.2","org.axonframework.eventsourcing",5,41,128,1,""
"axon-test-4.9.2","org.axonframework.test.matchers",5,24,128,1,""
"axon-eventsourcing-4.9.2","org.axonframework.eventsourcing.eventstore.legacyjpa",5,10,128,1,""
"axon-eventsourcing-4.9.2","org.axonframework.eventsourcing.eventstore.jpa",5,6,128,1,""
"axon-messaging-4.9.2","org.axonframework.util",5,3,128,1,""
"axon-messaging-4.9.2","org.axonframework.commandhandling.gateway",4,34,116,1,""
"axon-modelling-4.9.2","org.axonframework.modelling.command.inspection",4,26,116,1,""
"axon-test-4.9.2","org.axonframework.test.matchers",4,24,116,1,""
"axon-messaging-4.9.2","org.axonframework.deadline",4,13,116,1,""
"axon-messaging-4.9.2","org.axonframework.serialization.json",4,7,116,1,""
"axon-messaging-4.9.2","org.axonframework.messaging.interceptors.legacyvalidation",4,2,116,1,""
"axon-messaging-4.9.2","org.axonframework.commandhandling",6,31,103,1,""
"axon-messaging-4.9.2","org.axonframework.util",6,3,103,1,""
"axon-messaging-4.9.2","org.axonframework.messaging",8,34,92,1,""
"axon-messaging-4.9.2","org.axonframework.common",8,27,92,1,""
"axon-messaging-4.9.2","org.axonframework.common.jdbc",8,18,92,1,""
"axon-messaging-4.9.2","org.axonframework.tracing.attributes",8,6,92,1,""
"axon-messaging-4.9.2","org.axonframework.queryhandling",2,47,89,1,""
"axon-messaging-4.9.2","org.axonframework.messaging",2,34,89,1,""
"axon-modelling-4.9.2","org.axonframework.modelling.saga",2,33,89,1,""
"axon-test-4.9.2","org.axonframework.test.matchers",2,24,89,1,""
"axon-modelling-4.9.2","org.axonframework.modelling.saga.repository",2,15,89,1,""
"axon-messaging-4.9.2","org.axonframework.common.caching",2,14,89,1,""
"axon-messaging-4.9.2","org.axonframework.messaging.interceptors",2,8,89,1,""
"axon-messaging-4.9.2","org.axonframework.messaging.interceptors.legacyvalidation",2,2,89,1,""
"axon-eventsourcing-4.9.2","org.axonframework.eventsourcing",3,41,87,1,""
"axon-messaging-4.9.2","org.axonframework.serialization",3,33,87,1,""
"axon-modelling-4.9.2","org.axonframework.modelling.command.inspection",3,26,87,1,""
"axon-messaging-4.9.2","org.axonframework.eventhandling.pooled",3,21,87,1,""
"axon-test-4.9.2","org.axonframework.test.saga",3,21,87,1,""
"axon-messaging-4.9.2","org.axonframework.messaging.deadletter",3,19,87,1,""
"axon-modelling-4.9.2","org.axonframework.modelling.saga.repository",3,15,87,1,""
"axon-messaging-4.9.2","org.axonframework.messaging.unitofwork",3,14,87,1,""
